         2623842 function calls (2574019 primitive calls) in 3.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      147    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/utils/seeding.py:79(_int_list_from_bigint)
       53    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:731(merge)
        3    0.000    0.000    0.000    0.000 {built-in method posix.remove}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1710(getAllContextSubscriptionResults)
      432    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/numerictypes.py:286(issubclass_)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2910(getVersion)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/multi_discrete.py:25(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.simulation_getVersion}
     1560    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:75(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/multi_binary.py:21(__init__)
        3    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:117(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:5896(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2610(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1389(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:3392(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1702(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1397(getAllContextSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1169(getAllContextSubscriptionResults)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.lanearea_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4226(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1963(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2370(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1540(getAllSubscriptionResults)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2378(getAllContextSubscriptionResults)
      288    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/numeric.py:1816(isscalar)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      294    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/traci/connection.py:302(_manageStepListeners)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2418(cumsum)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:5010(getAllSubscriptionResults)
      147    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2930(getDepartedNumber)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2808(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2183(getAllSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1971(getAllContextSubscriptionResults)
      216    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/getlimits.py:366(__new__)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2918(getTime)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:5018(getAllContextSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:5904(getAllContextSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2191(getAllContextSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2816(getAllContextSubscriptionResults)
       72    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:915(_add_link)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1548(getAllContextSubscriptionResults)
     1794    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:3400(getAllContextSubscriptionResults)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/multi_discrete.py:51(__repr__)
      148    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/abc.py:96(__instancecheck__)
      582    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4234(getAllContextSubscriptionResults)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2938(getArrivedNumber)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2618(getAllContextSubscriptionResults)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:1473(_array_str_implementation)
      266    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:900(_add_junction)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:516(array2string)
       72    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1711(__init__)
      150    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:569(get_lane_belonged_pipeline)
      266    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1503(__init__)
      294    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        7    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/genericpath.py:16(exists)
      588    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
      144    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       10    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      147    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
      512    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:461(wrapper)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.polygon_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.trafficlight_getAllSubscriptionResults}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:478(_array2string)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.lanearea_getAllSubscriptionResults}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:1(<module>)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.edge_getAllContextSubscriptionResults}
      150    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1765(__init__)
      148    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       72    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:440(add_attributes)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.inductionloop_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.vehicletype_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.vehicle_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.person_getAllSubscriptionResults}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.poi_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.junction_getAllSubscriptionResults}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1097(_close_pipe_fds)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.inductionloop_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.lane_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.route_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.simulation_getTime}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.lane_getAllContextSubscriptionResults}
      294    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.poi_getAllSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.person_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.simulation_getDepartedNumber}
      141    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.route_getAllContextSubscriptionResults}
       15    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.junction_getAllContextSubscriptionResults}
       98    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1668(__init__)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.trafficlight_getAllContextSubscriptionResults}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.multientryexit_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.multientryexit_getAllSubscriptionResults}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:409(_get_format_function)
      160    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      119    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:920(_implement_new_policy)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       10    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.vehicle_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.vehicletype_getAllContextSubscriptionResults}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.simulation_getArrivedNumber}
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.polygon_getAllContextSubscriptionResults}
       32    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      150    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       12    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1632(<genexpr>)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:95(_generate_observation)
        2    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1150(_load_movement_turning_ratio)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:365(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/os.py:613(get_exec_path)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:1124(__init__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:709(_formatArray)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      7/1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:718(recurser)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      147    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/multiarray.py:143(concatenate)
       72    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/car_following.py:9(__init__)
      119    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/policy/null_policy.py:13(get_action)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1706(_handle_exitstatus)
       22    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:845(add_qname)
       72    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1395(<listcomp>)
        3    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:238(helper)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      144    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/multiarray.py:1043(copyto)
      3/2    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/abc.py:100(__subclasscheck__)
       12    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:895(_add_signal)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:482(__exit__)
      147    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:59(_recreate_cm)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
      3/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:994(_output_observation_mapping_details)
        2    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        3    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:82(__init__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2589(amax)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:493(_clear_simulator_parameters)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:182(seed)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       12    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/os.py:800(fsencode)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       12    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1677(__init__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/__init__.py:43(normalize_encoding)
        2    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/os.py:670(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:907(__exit__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/_collections_abc.py:657(get)
       17    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:385(__init__)
        1    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:60(_make_options_dict)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2714(amin)
        6    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:695(_extendLine)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:426(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       32    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1191(_argmin_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:469(_generate_random_seed)
        1    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/warnings.py:458(__enter__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1048(poll)
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       32    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        6    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:1132(__call__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:358(_get_formatdict)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:608(iter)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/os.py:1073(__subclasshook__)
        2    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/os.py:748(encode)
        3    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:935(__del__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        8    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:557(getroot)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       15    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/os.py:752(decode)
        5    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/_collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        9    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        8    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        8    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1724(_internal_poll)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        6    0.000    0.000    0.000    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/warnings.py:437(__init__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/warnings.py:477(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:241(_cleanup)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
