         2623842 function calls (2574019 primitive calls) in 3.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7904    0.017    0.000    0.074    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:204(broadcast_arrays)
        3    0.000    0.000    0.072    0.024 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:717(write)
    15808    0.022    0.000    0.069    0.000 {method 'all' of 'numpy.generic' objects}
    20208    0.011    0.000    0.069    0.000 <__array_function__ internals>:2(ndim)
        2    0.009    0.005    0.057    0.029 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:999(_load_network_topology)
   9765/3    0.034    0.000    0.054    0.018 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:895(_serialize_xml)
     7904    0.005    0.000    0.051    0.000 <__array_function__ internals>:2(atleast_1d)
     7784    0.004    0.000    0.048    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_continuous_distns.py:7782(_rvs)
    17974    0.048    0.000    0.048    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.047    0.047 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/__init__.py:52(start)
    15809    0.005    0.000    0.047    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_methods.py:56(_all)
        1    0.000    0.000    0.047    0.047 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2894(load)
        1    0.047    0.047    0.047    0.047 {built-in method libsumo._libsumo.simulation_load}
    20208    0.024    0.000    0.046    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(ndim)
        1    0.000    0.000    0.046    0.046 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:578(_init_action_observation_space)
    33563    0.009    0.000    0.045    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_asarray.py:14(asarray)
     7784    0.045    0.000    0.045    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
11880/3960    0.012    0.000    0.044    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/copy.py:200(_deepcopy_list)
